label,index,romPath,inputScript,stopFrame,maxSteps,maxSeconds,snapshotFrames,saveFile,saveReadOnly,targetScene,baselineRequired,minDistinctPcs,expectedScene,notes
tony-hawk-sk8land-gameplay,257,,scripts\visual-input\tony-hawk-sk8land-gameplay.input,12000,6000000000,900,1200,,,gameplay,true,5,Active skate scene,Late-era sports gameplay route and low-priority boot-static follow-up with stable 5-PC route-loop diversity
tony-hawk-underground2-gameplay,263,,scripts\visual-input\tony-hawk-underground2-gameplay.input,12000,6000000000,900,1200,,,gameplay,true,,Active skate scene,Late-era sports gameplay route and low-priority boot-static follow-up
super-mario-advance2-map,129,,scripts\visual-input\super-mario-advance2-gameplay.input,12000,6000000000,1200,300,,,gameplay,true,3,Super Mario World map/gameplay scene,Platformer expansion route with stable 3-PC route-loop diversity
banjo-pilot-race,77,,scripts\visual-input\banjo-pilot-gameplay.input,12000,6000000000,1200,300,,,gameplay,true,4,Active Banjo-Pilot race,Former DMA/EEPROM bug anchor and racing expansion route with stable 4-PC diversity
mega-man-battle-network-room,78,,scripts\visual-input\mega-man-battle-network-gameplay.input,18000,9000000000,1200,1200,,,gameplay,true,5,Lan bedroom gameplay scene,Battle Network RPG/action expansion route with stable 5-PC room-loop diversity
advance-wars2-map,273,,scripts\visual-input\advance-wars2-map.input,30000,15000000000,1200,1200,,,gameplay,true,,Advance Wars 2 tactical map with command menu,Strategy expansion route
riviera-battle,213,,scripts\visual-input\riviera-gameplay.input,15120,11000000000,1500,840,,,gameplay,true,,Riviera in-engine battle transition,Prior bug-cluster RPG/adventure route
summon-night-room,240,,scripts\visual-input\summon-night-gameplay.input,22000,11000000000,1500,1200,,,gameplay,true,,Summon Night room gameplay scene,RPG/action/save-heavy expansion route
crash-huge-adventure-level,60,,scripts\visual-input\crash-huge-adventure-gameplay.input,12000,6000000000,1500,1200,,,gameplay,true,7,Crash side-scrolling level,Licensed platformer expansion route with stable 7-PC side-scrolling loop diversity
powerpuff-mojo-action,44,,scripts\visual-input\powerpuff-mojo-gameplay.input,6500,6000000000,1500,500,,,gameplay,true,5,Powerpuff Girls action scene,Prior bug-cluster licensed action route with stable 5-PC action-loop diversity
scooby-unmasked-action,50,,scripts\visual-input\scooby-unmasked-gameplay.input,12000,6000000000,1500,300,,,gameplay,true,4,Scooby-Doo Unmasked action scene,Prior IRQ/audio bug-cluster licensed route with stable 4-PC route-loop diversity
spy-muppets-action,51,,scripts\visual-input\spy-muppets-gameplay.input,12000,6000000000,1500,1200,,,gameplay,true,6,Spy Muppets action/minigame scene,Prior IRQ/audio bug-cluster licensed route with stable 6-PC minigame-loop diversity
castlevania-circle-gameplay,108,,scripts\visual-input\castlevania-circle-gameplay.input,38000,19000000000,2400,2000,,,gameplay,true,,Circle of the Moon cave gameplay scene,Technical Castlevania expansion route with widened wall-clock budget for loaded hosts
castlevania-harmony-gameplay,109,,scripts\visual-input\castlevania-harmony-gameplay.input,30000,15000000000,1800,1500,,,gameplay,true,,Harmony of Dissonance castle entrance gameplay,Technical Castlevania expansion route
wario-land4-gameplay,131,,scripts\visual-input\wario-land4-gameplay.input,15000,7500000000,1200,1000,,,gameplay,true,,Wario Land 4 early platforming room,Platformer animation/rendering expansion route
kirby-nightmare-gameplay,115,,scripts\visual-input\kirby-nightmare-gameplay.input,15000,7500000000,1200,300,,,gameplay,true,3,Kirby Nightmare in Dream Land Vegetable Valley gameplay,Platformer animation/rendering expansion route with stable 3-PC route-loop diversity
kirby-amazing-mirror-gameplay,116,,scripts\visual-input\kirby-amazing-mirror-gameplay.input,16000,8000000000,1200,1000,,,gameplay,true,,Kirby Amazing Mirror early sky gameplay,Platformer animation/rendering expansion route
crash-ntranced-level,61,,scripts\visual-input\crash-ntranced-gameplay.input,15000,7500000000,1500,1000,,,gameplay,true,7,Crash 2 N-Tranced side-scrolling level,Platformer expansion route with stable 7-PC side-scrolling loop diversity
fzero-maximum-race,178,,scripts\visual-input\fzero-maximum-velocity-race.input,7600,3800000000,900,500,,,gameplay,true,4,F-Zero Maximum Velocity active race,Affine racing expansion route with stable 4-PC race-loop diversity
crash-nitro-kart-race,62,,scripts\visual-input\crash-nitro-kart-gameplay.input,38000,19000000000,1500,1000,,,gameplay,true,,Crash Nitro Kart in-race tutorial scene,Mode 7-style racing expansion route
metal-slug-advance-gameplay,5,,scripts\visual-input\metal-slug-advance-gameplay.input,16000,8000000000,1500,1000,,,gameplay,true,4,Metal Slug Advance first mission action scene,Sprite-heavy run-and-gun expansion route with stable 4-PC in-mission loop
wolfenstein3d-gameplay,6,,scripts\visual-input\wolfenstein3d-gameplay.input,12000,6000000000,1200,600,,,gameplay,true,,Wolfenstein 3D first-person gameplay scene,Additional FPS renderer/input expansion route
mega-man-zero-gameplay,120,,scripts\visual-input\mega-man-zero-gameplay.input,16000,8000000000,1500,800,,,gameplay,true,4,Mega Man Zero early side-scrolling action scene,High-speed platform combat expansion route with stable 4-PC scene loop
street-fighter-alpha3-gameplay,35,,scripts\visual-input\street-fighter-alpha3-gameplay.input,12000,6000000000,1200,600,,,gameplay,true,,Street Fighter Alpha 3 active fight scene,Fighting-game sprite/windowing expansion route
puyo-pop-gameplay,149,,scripts\visual-input\puyo-pop-gameplay.input,21000,10500000000,1500,1000,,,gameplay,true,,Puyo Pop active puzzle board,Puzzle/arcade gameplay expansion route
contra-advance-gameplay,7,,scripts\visual-input\contra-advance-gameplay.input,15000,7500000000,1500,750,,,gameplay,true,,Contra Advance side-scrolling action scene,Additional sprite-heavy run-and-gun expansion route
king-of-fighters-ex2-gameplay,30,,scripts\visual-input\king-of-fighters-ex2-gameplay.input,24000,12000000000,1800,1000,,,gameplay,true,,King of Fighters EX2 active fight scene,Fighting-engine candidate expansion route
fire-emblem-sacred-stones-gameplay,208,,scripts\visual-input\fire-emblem-sacred-stones-gameplay.input,30000,15000000000,2400,1200,,,gameplay,true,,Fire Emblem Sacred Stones in-engine story scene,Tactical RPG engine candidate expansion route
ff-tactics-advance-gameplay,205,,scripts\visual-input\ff-tactics-advance-gameplay.input,30000,15000000000,2400,1200,,,gameplay,true,4,Final Fantasy Tactics Advance in-engine town dialogue scene,Tactical RPG engine candidate expansion route with stable 4-PC scene loop
gt-advance2-race,196,,scripts\visual-input\gt-advance2-race.input,18000,9000000000,1500,900,,,gameplay,true,,GT Advance 2 active rally race scene,Additional racing-engine expansion route
alienators-gameplay,15,,scripts\visual-input\alienators-gameplay.input,4800,2400000000,600,600,,,gameplay,true,4,Alienators first side-scrolling gameplay scene,Promoted from weak generic compatibility follow-up; route reaches active side-scrolling gameplay with stable 4-PC route-loop diversity
beyblade-grev-gameplay,19,,scripts\visual-input\beyblade-grev-gameplay.input,9600,3600000000,900,1200,,,gameplay,true,6,Beyblade G-Revolution room-control scene,Promoted from weak generic compatibility follow-up; route advances past the opening dialogue into a room-control scene with stable 6-PC route-loop diversity
contra-hard-spirits-jp-gameplay,8,,scripts\visual-input\contra-hard-spirits-jp-gameplay.input,1800,900000000,180,600,,,gameplay,true,2,Contra Hard Spirits JP first side-scrolling scene,Promoted weak generic compatibility follow-up; route reaches gameplay with stable 2-PC scene-loop diversity
advance-gta-jp-race,18,,scripts\visual-input\gt-advance2-race.input,4200,3000000000,600,600,,,gameplay,true,6,Advance GTA JP active race,Promoted weak generic compatibility follow-up; existing GT route reaches active race but needs a wider wall-clock budget on loaded hosts with stable 6-PC race-loop diversity
