label,index,romPath,inputScript,stopFrame,maxSteps,maxSeconds,snapshotFrames,saveFile,saveReadOnly,targetScene,baselineRequired,minDistinctPcs,expectedScene,notes
mario-kart-external-reference,119,,scripts\visual-input\no-input.input,435,500000000,300,60,,false,reference-window,true,1,Mario Kart no-input intro external reference,Short title/intro target for mGBA/gbaSharp visual comparison; compares gbaSharp frame 420 against mGBA frame 435 because the no-input flag animation is offset by 15 frames
tony-hawk2-longplay,259,,scripts\visual-input\tony-hawk2-longplay.input,27000,13500000000,2400,900,visual-saves\approved\tony-hawk2-roundtrip.sav,true,strict-longplay,true,8,Tony Hawk 2 extended skate tutorial soak,Strict longplay baseline for sports rendering and input stability
tony-hawk2-external-reference,259,,scripts\visual-input\no-input.input,300,500000000,300,60,,false,reference-window,true,1,Tony Hawk 2 no-input intro external reference,Short exact Activision logo target for mGBA/gbaSharp visual comparison; the 27000-frame skate tutorial remains the local longplay soak
castlevania-aria-longplay,107,,scripts\visual-input\castlevania-aria-longplay.input,32000,16000000000,2400,1000,,false,strict-longplay,true,8,Castlevania Aria extended castle gameplay soak,Strict longplay baseline for action-platformer scrolling and combat stability
castlevania-harmony-longplay,109,,scripts\visual-input\castlevania-harmony-longplay.input,34000,17000000000,3600,1000,,false,strict-longplay,true,8,Castlevania Harmony extended castle gameplay soak,Strict longplay baseline for action-platformer scrolling and combat stability
golden-sun-longplay,211,,scripts\visual-input\golden-sun-longplay.input,52000,26000000000,3600,1300,,false,strict-longplay,true,8,Golden Sun extended outdoor RPG soak,Strict longplay baseline for Flash64K RPG scene and dialogue stability
pokemon-ruby-longplay,0,Ruby.gba,scripts\visual-input\pokemon-ruby-longplay.input,6000,3000000000,900,600,visual-saves\approved\pokemon-ruby-root-bedroom.sav,true,strict-longplay,true,8,Pokemon Ruby save-assisted room/text checkpoint,Retimed exact local baseline to a deterministic early Flash128K room/text checkpoint; the former 78000-frame route remains soak evidence but is route-state unstable
pokemon-ruby-external-reference,0,Ruby.gba,scripts\visual-input\no-input.input,600,500000000,300,60,,false,reference-window,true,1,Pokemon Ruby no-save intro external reference,Short no-save boot target for mGBA/gbaSharp visual comparison; save-assisted Ruby remains local coverage because mGBA save import diverges on the Flash128K fixture
mario-luigi-longplay,212,,scripts\visual-input\mario-luigi-longplay.input,48000,24000000000,3000,1200,visual-saves\approved\mario-luigi-roundtrip.sav,true,strict-longplay,true,7,Mario and Luigi extended save-assisted room soak,Strict longplay baseline for EEPROM room scene before the find-Mario prompt
mega-man-battle-network-longplay,78,,scripts\visual-input\mega-man-battle-network-longplay.input,22000,11000000000,1800,800,,false,strict-longplay,true,5,Mega Man Battle Network extended room soak,Strict longplay baseline for low-diversity room scene before PET dialogue prompt
fzero-gp-longplay,177,,scripts\visual-input\fzero-gp-longplay.input,9000,4500000000,1500,300,,false,strict-longplay,true,4,F-Zero GP Legend active race soak,Strict longplay baseline for active race frame before mission failure
fzero-gp-external-reference,177,,scripts\visual-input\no-input.input,600,500000000,300,60,,false,reference-window,true,1,F-Zero GP Legend no-input intro external reference,Short exact boot/title target for mGBA/gbaSharp visual comparison; the 9000-frame GP Legend race row remains the local active-race soak
fzero-maximum-longplay,178,,scripts\visual-input\fzero-maximum-longplay.input,7200,3600000000,1200,300,,false,strict-longplay,true,3,F-Zero Maximum Velocity active race soak,Strict longplay baseline for active race/checkpoint frame before loss state
warioware-longplay,150,,scripts\visual-input\warioware-longplay.input,17220,9000000000,1800,600,,false,strict-longplay,true,4,WarioWare Inc microgame/menu-flow soak,Retimed strict longplay baseline to mGBA-aligned active microgame frame
